team_id,team_name,confederation,group,fifa_ranking,elo_rating,attack_rating,defense_rating,midfield_rating,goalkeeper_rating,squad_depth,recent_form,experience,penalty_rating,discipline_rating,pressing_intensity,tactical_style,home_advantage,travel_fatigue_base
MEX,Mexico,CONCACAF,A,15,1652.0,87.7,90.7,91.2,91.7,89.7,91.7,89.7,91.7,0.95,0.78,possession,0.04,0.33
RSA,South Africa,CAF,A,61,1392.0,81.3,82.3,81.8,81.3,82.3,82.3,82.3,82.3,0.91,0.7,balanced,0.0,0.43
KOR,Korea Republic,AFC,A,22,1585.0,88.6,87.6,88.1,86.6,88.6,88.6,88.6,88.6,0.94,0.77,direct,0.0,0.43
CZE,Czechia,UEFA,A,44,1478.0,89.0,85.0,87.0,84.0,88.0,85.0,85.0,85.0,0.92,0.73,pressing,0.0,0.33
CAN,Canada,CONCACAF,B,31,1532.0,89.1,88.1,88.6,87.1,87.1,87.1,87.1,87.1,0.93,0.75,possession,0.04,0.33
BIH,Bosnia and Herzegovina,UEFA,B,74,1342.0,81.2,82.2,81.7,81.2,83.2,80.2,80.2,80.2,0.9,0.68,balanced,0.0,0.33
QAT,Qatar,AFC,B,53,1442.0,82.6,82.6,82.6,81.6,83.6,83.6,83.6,83.6,0.92,0.71,direct,0.0,0.43
SUI,Switzerland,UEFA,B,17,1647.0,92.4,89.4,92.9,90.4,92,89.4,89.4,91.4,0.95,0.77,pressing,0.0,0.33
BRA,Brazil,CONMEBOL,C,6,1761.16,94,92.2,94,93.2,91.2,92,95,93,0.96,0.79,possession,0.0,0.33
HAI,Haiti,CONCACAF,C,83,1285.0,80.7,78.7,79.7,77.7,78.7,78.7,78.7,78.7,0.89,0.66,balanced,0.0,0.33
MAR,Morocco,CAF,C,8,1698.0,88.9,89.9,91.4,90.9,90.9,92,90.9,92.9,0.95,0.79,direct,0.0,0.43
SCO,Scotland,UEFA,C,39,1497.0,87.8,85.8,86.8,84.8,88.8,85.8,85.8,85.8,0.93,0.74,pressing,0.0,0.33
USA,United States,CONCACAF,D,16,1650.0,89.6,90.6,92.1,91.6,89.6,91.6,89.6,91.6,0.95,0.78,possession,0.04,0.33
AUS,Australia,AFC,D,24,1575.0,89.3,88.3,88.8,87.3,88.3,88.3,88.3,88.3,0.94,0.76,balanced,0.0,0.43
PAR,Paraguay,CONMEBOL,D,36,1510.0,91.3,85.3,88.3,84.3,86.3,86.3,86.3,86.3,0.93,0.74,direct,0.0,0.33
TUR,Turkiye,UEFA,D,26,1555.0,89.0,88.0,88.5,87.0,91.0,88.0,88.0,88.0,0.94,0.76,pressing,0.0,0.33
GER,Germany,UEFA,E,10,1710.0,92.5,93.5,94,94,92,92,95,92.5,0.95,0.79,possession,0.0,0.33
ECU,Ecuador,CONMEBOL,E,23,1582.0,91.4,88.4,89.9,87.4,88.4,88.4,88.4,88.4,0.94,0.76,balanced,0.0,0.33
CIV,Ivory Coast,CAF,E,42,1484.0,86.4,84.4,85.4,83.4,85.4,85.4,85.4,85.4,0.92,0.73,direct,0.0,0.43
CUW,Curacao,CONCACAF,E,86,1274.0,80.2,76.2,78.2,75.2,78.2,78.2,78.2,78.2,0.89,0.66,pressing,0.0,0.33
NED,Netherlands,UEFA,F,7,1757.87,92.0,94,94,94,92,92,95,93,0.95,0.79,possession,0.0,0.33
JPN,Japan,AFC,F,18,1640.0,88.2,89.2,90.7,90.2,89.2,89.2,89.2,91.2,0.95,0.77,balanced,0.0,0.43
SWE,Sweden,UEFA,F,28,1542.0,90.6,88.6,89.6,87.6,90.6,87.6,87.6,87.6,0.94,0.76,direct,0.0,0.33
TUN,Tunisia,CAF,F,49,1462.0,85.2,82.2,83.7,81.2,84.2,84.2,84.2,84.2,0.92,0.72,pressing,0.0,0.43
BEL,Belgium,UEFA,G,9,1716.0,94,93.7,94,94,92,92,90.7,92.7,0.95,0.79,possession,0.0,0.33
EGY,Egypt,CAF,G,29,1539.0,85.5,87.5,86.5,86.5,87.5,87.5,87.5,87.5,0.94,0.75,balanced,0.0,0.43
IRN,IR Iran,AFC,G,20,1618.0,87.9,87.9,89.9,88.9,88.9,88.9,88.9,90.9,0.94,0.77,direct,0.0,0.43
NZL,New Zealand,OFC,G,89,1260.0,77.8,75.8,76.8,74.8,77.8,77.8,77.8,77.8,0.88,0.65,pressing,0.0,0.43
ESP,Spain,UEFA,H,2,1876.4,94,94,94,94,92,92,95,93,0.96,0.8,possession,0.0,0.33
URU,Uruguay,CONMEBOL,H,12,1685.0,94,90.2,94,91.2,90.2,92,95,92.2,0.95,0.78,balanced,0.0,0.33
KSA,Saudi Arabia,AFC,H,58,1418.0,80.8,81.8,81.3,80.8,82.8,82.8,82.8,82.8,0.91,0.7,direct,0.0,0.43
CPV,Cape Verde,CAF,H,68,1362.0,80.2,79.2,79.7,78.2,81.2,81.2,81.2,81.2,0.9,0.69,pressing,0.0,0.43
FRA,France,UEFA,I,1,1877.32,94,94,94,94,92,92,95,93,0.96,0.8,possession,0.0,0.33
SEN,Senegal,CAF,I,19,1625.0,90.1,89.1,91.6,90.1,89.1,89.1,89.1,91.1,0.94,0.77,balanced,0.0,0.43
NOR,Norway,UEFA,I,33,1522.0,91.8,87.8,89.8,86.8,89.8,86.8,86.8,86.8,0.93,0.75,direct,0.0,0.33
IRQ,Iraq,AFC,I,59,1410.0,80.6,80.6,80.6,79.6,82.6,82.6,82.6,82.6,0.91,0.7,pressing,0.0,0.43
ARG,Argentina,CONMEBOL,J,3,1874.81,93.7,92.7,94,93.7,91.7,92,95,93,0.96,0.8,possession,0.0,0.33
AUT,Austria,UEFA,J,25,1568.0,91.1,90.1,90.6,89.1,91.1,88.1,88.1,88.1,0.94,0.76,balanced,0.0,0.33
ALG,Algeria,CAF,J,38,1500.0,87.0,85.0,86.0,84.0,86.0,86.0,86.0,86.0,0.93,0.74,direct,0.0,0.43
JOR,Jordan,AFC,J,64,1382.0,83.8,79.8,81.8,78.8,81.8,81.8,81.8,81.8,0.91,0.69,pressing,0.0,0.43
POR,Portugal,UEFA,K,5,1763.83,92.4,94,94,94,92,92,95,93,0.96,0.79,possession,0.0,0.33
COD,DR Congo,CAF,K,60,1404.0,81.4,82.4,81.9,81.4,82.4,82.4,82.4,82.4,0.91,0.7,balanced,0.0,0.43
UZB,Uzbekistan,AFC,K,55,1434.0,83.3,82.3,82.8,81.3,83.3,83.3,83.3,83.3,0.91,0.71,direct,0.0,0.43
COL,Colombia,CONMEBOL,K,13,1680.0,94,88.1,93.0,89.1,90.1,92,90.1,92.1,0.95,0.78,pressing,0.0,0.33
ENG,England,UEFA,L,4,1825.97,94,94,94,94,92,92,95,93,0.96,0.79,possession,0.0,0.33
CRO,Croatia,UEFA,L,11,1696.0,91.4,92.4,93.9,93.4,92,92,95,92.4,0.95,0.78,balanced,0.0,0.33
GHA,Ghana,CAF,L,47,1469.0,83.6,83.6,83.6,82.6,84.6,84.6,84.6,84.6,0.92,0.72,direct,0.0,0.43
PAN,Panama,CONCACAF,L,35,1515.0,86.5,84.5,85.5,83.5,86.5,86.5,86.5,86.5,0.93,0.74,pressing,0.0,0.33
